/usr/bin/python3 /Users/jon/MyCodes/MyProjects/PythonProjects/my-qffl-dp/mnist_qffl_dp_qn/mnist_QFNN_FL_QNoise_train.py
params: 0.01, 1
Node 5 | Epoch 3: 100%|██████████| 93/93 [01:41<00:00,  1.09s/it, acc=0.5055, loss=0.7241]
Node 5 | Epoch 4: 100%|██████████| 93/93 [01:41<00:00,  1.09s/it, acc=0.5006, loss=0.7163]
Node 5 | Epoch 5: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.5025, loss=0.7115]
Node 5 | Epoch 6: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.4893, loss=0.7084]
Node 5 | Epoch 7: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.4967, loss=0.7061]
Node 6 | Epoch 0: 100%|██████████| 96/96 [01:42<00:00,  1.07s/it, acc=0.4454, loss=1.2518]
Node 6 | Epoch 1: 100%|██████████| 96/96 [01:41<00:00,  1.06s/it, acc=0.5073, loss=0.7739]
Node 6 | Epoch 2: 100%|██████████| 96/96 [01:43<00:00,  1.08s/it, acc=0.5132, loss=0.7333]
Node 6 | Epoch 3: 100%|██████████| 96/96 [01:42<00:00,  1.07s/it, acc=0.5100, loss=0.7200]
Node 6 | Epoch 4: 100%|██████████| 96/96 [01:41<00:00,  1.06s/it, acc=0.5104, loss=0.7133]
Node 6 | Epoch 5: 100%|██████████| 96/96 [01:43<00:00,  1.08s/it, acc=0.5086, loss=0.7093]
Node 6 | Epoch 6: 100%|██████████| 96/96 [01:42<00:00,  1.06s/it, acc=0.5121, loss=0.7066]
Node 6 | Epoch 7: 100%|██████████| 96/96 [01:42<00:00,  1.07s/it, acc=0.5148, loss=0.7048]
Node 7 | Epoch 0: 100%|██████████| 92/92 [01:40<00:00,  1.09s/it, acc=0.5149, loss=1.1579]
Node 7 | Epoch 1: 100%|██████████| 92/92 [01:38<00:00,  1.07s/it, acc=0.9476, loss=0.6284]
Node 7 | Epoch 2: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9968, loss=0.3449]
Node 7 | Epoch 3: 100%|██████████| 92/92 [01:39<00:00,  1.08s/it, acc=0.9975, loss=0.1519]
Node 7 | Epoch 4: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9978, loss=0.0779]
Node 7 | Epoch 5: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9984, loss=0.0521]
Node 7 | Epoch 6: 100%|██████████| 92/92 [01:40<00:00,  1.09s/it, acc=0.9988, loss=0.0388]
Node 7 | Epoch 7: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9989, loss=0.0319]
Node 7 | Epoch 8: 100%|██████████| 92/92 [01:39<00:00,  1.08s/it, acc=0.9991, loss=0.0261]
Node 7 | Epoch 9: 100%|██████████| 92/92 [01:40<00:00,  1.10s/it, acc=0.9995, loss=0.0216]
Node 8 | Epoch 0: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.5178, loss=1.3433]
Node 8 | Epoch 1: 100%|██████████| 93/93 [01:38<00:00,  1.05s/it, acc=0.4990, loss=0.8017]
Node 8 | Epoch 2: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.4974, loss=0.7429]
Node 8 | Epoch 3: 100%|██████████| 93/93 [01:38<00:00,  1.05s/it, acc=0.4964, loss=0.7254]
Node 8 | Epoch 4: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.4992, loss=0.7169]
Node 8 | Epoch 5: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.4980, loss=0.7119]
Node 8 | Epoch 6: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.4981, loss=0.7085]
Node 8 | Epoch 7: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.4985, loss=0.7066]
Node 8 | Epoch 8: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.4936, loss=0.7047]

Configuration Summary - Noise: 0.01, Clip: 1
├─ Average Train Accuracy: 0.6941
├─ Average Test Accuracy:  0.0000
└─ Average Privacy Budget ε: 126946.7589

params: 0.01, 5
Node 0 | Epoch 0: 100%|██████████| 99/99 [01:44<00:00,  1.06s/it, acc=0.7761, loss=1.1929]
Node 0 | Epoch 1: 100%|██████████| 99/99 [01:44<00:00,  1.06s/it, acc=0.9893, loss=0.3163]
Node 0 | Epoch 2: 100%|██████████| 99/99 [01:46<00:00,  1.08s/it, acc=0.9983, loss=0.0971]
Node 0 | Epoch 3: 100%|██████████| 99/99 [01:44<00:00,  1.06s/it, acc=0.9998, loss=0.0521]
Node 0 | Epoch 4: 100%|██████████| 99/99 [01:44<00:00,  1.06s/it, acc=1.0000, loss=0.0346]
Node 0 | Epoch 5: 100%|██████████| 99/99 [01:45<00:00,  1.07s/it, acc=1.0000, loss=0.0258]
Node 0 | Epoch 6: 100%|██████████| 99/99 [01:44<00:00,  1.06s/it, acc=0.9999, loss=0.0205]
Node 0 | Epoch 7: 100%|██████████| 99/99 [01:45<00:00,  1.06s/it, acc=1.0000, loss=0.0169]
Node 1 | Epoch 0: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.8065, loss=1.3211]
Node 1 | Epoch 1: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9892, loss=0.3365]
Node 1 | Epoch 2: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9990, loss=0.1122]
Node 1 | Epoch 3: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.9997, loss=0.0642]
Node 1 | Epoch 4: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9997, loss=0.0449]
Node 1 | Epoch 5: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9997, loss=0.0344]
Node 1 | Epoch 6: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.9999, loss=0.0276]
Node 1 | Epoch 7: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9999, loss=0.0233]
Node 2 | Epoch 0: 100%|██████████| 95/95 [01:41<00:00,  1.07s/it, acc=0.8606, loss=1.2047]
Node 2 | Epoch 1: 100%|██████████| 95/95 [01:41<00:00,  1.07s/it, acc=0.9979, loss=0.2272]
Node 2 | Epoch 2: 100%|██████████| 95/95 [01:40<00:00,  1.06s/it, acc=0.9991, loss=0.0995]
Node 2 | Epoch 3: 100%|██████████| 95/95 [01:41<00:00,  1.07s/it, acc=0.9997, loss=0.0599]
Node 2 | Epoch 4: 100%|██████████| 95/95 [01:41<00:00,  1.07s/it, acc=0.9998, loss=0.0432]
Node 2 | Epoch 5: 100%|██████████| 95/95 [01:40<00:00,  1.06s/it, acc=0.9998, loss=0.0337]
Node 2 | Epoch 6: 100%|██████████| 95/95 [01:41<00:00,  1.07s/it, acc=0.9998, loss=0.0274]
Node 2 | Epoch 7: 100%|██████████| 95/95 [01:41<00:00,  1.06s/it, acc=0.9998, loss=0.0235]
Node 3 | Epoch 0: 100%|██████████| 92/92 [01:41<00:00,  1.10s/it, acc=0.9034, loss=1.0024]
Node 3 | Epoch 1: 100%|██████████| 92/92 [01:38<00:00,  1.07s/it, acc=0.9977, loss=0.1850]
Node 3 | Epoch 2: 100%|██████████| 92/92 [01:38<00:00,  1.07s/it, acc=0.9988, loss=0.0791]
Node 3 | Epoch 3: 100%|██████████| 92/92 [01:39<00:00,  1.08s/it, acc=0.9991, loss=0.0517]
Node 3 | Epoch 4: 100%|██████████| 92/92 [01:38<00:00,  1.07s/it, acc=0.9992, loss=0.0373]
Node 3 | Epoch 5: 100%|██████████| 92/92 [01:38<00:00,  1.08s/it, acc=0.9994, loss=0.0297]
Node 3 | Epoch 6: 100%|██████████| 92/92 [01:39<00:00,  1.08s/it, acc=0.9993, loss=0.0238]
Node 3 | Epoch 7: 100%|██████████| 92/92 [01:39<00:00,  1.08s/it, acc=0.9999, loss=0.0178]
Node 3 | Epoch 8: 100%|██████████| 92/92 [01:38<00:00,  1.08s/it, acc=0.9997, loss=0.0173]
Node 3 | Epoch 9: 100%|██████████| 92/92 [01:38<00:00,  1.07s/it, acc=0.9997, loss=0.0152]
Node 4 | Epoch 0: 100%|██████████| 89/89 [01:34<00:00,  1.06s/it, acc=0.9284, loss=0.9456]
Node 4 | Epoch 1: 100%|██████████| 89/89 [01:33<00:00,  1.06s/it, acc=0.9998, loss=0.1332]
Node 4 | Epoch 2: 100%|██████████| 89/89 [01:35<00:00,  1.07s/it, acc=0.9998, loss=0.0603]
Node 4 | Epoch 3: 100%|██████████| 89/89 [01:35<00:00,  1.07s/it, acc=1.0000, loss=0.0382]
Node 4 | Epoch 4: 100%|██████████| 89/89 [01:34<00:00,  1.06s/it, acc=0.9998, loss=0.0282]
Node 4 | Epoch 5: 100%|██████████| 89/89 [01:35<00:00,  1.07s/it, acc=0.9998, loss=0.0224]
Node 4 | Epoch 6: 100%|██████████| 89/89 [01:35<00:00,  1.07s/it, acc=0.9999, loss=0.0181]
Node 4 | Epoch 7: 100%|██████████| 89/89 [01:34<00:00,  1.06s/it, acc=1.0000, loss=0.0153]
Node 5 | Epoch 0: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.4619, loss=1.3471]
Node 5 | Epoch 1: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.5053, loss=0.7821]
Node 5 | Epoch 2: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.5142, loss=0.7354]
Node 5 | Epoch 3: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.6549, loss=0.7097]
Node 5 | Epoch 4: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.5675, loss=0.7096]
Node 5 | Epoch 5: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.4993, loss=0.7082]
Node 5 | Epoch 6: 100%|██████████| 93/93 [01:39<00:00,  1.06s/it, acc=0.4939, loss=0.7060]
Node 5 | Epoch 7: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.4993, loss=0.7043]
Node 6 | Epoch 0: 100%|██████████| 96/96 [01:41<00:00,  1.06s/it, acc=0.8774, loss=1.0561]
Node 6 | Epoch 1: 100%|██████████| 96/96 [01:43<00:00,  1.08s/it, acc=0.9996, loss=0.1653]
Node 6 | Epoch 2: 100%|██████████| 96/96 [01:42<00:00,  1.07s/it, acc=0.9932, loss=0.0845]
Node 6 | Epoch 3: 100%|██████████| 96/96 [01:42<00:00,  1.06s/it, acc=0.9942, loss=0.0571]
Node 6 | Epoch 4: 100%|██████████| 96/96 [01:43<00:00,  1.08s/it, acc=0.9992, loss=0.0336]
Node 6 | Epoch 5: 100%|██████████| 96/96 [01:42<00:00,  1.07s/it, acc=0.9995, loss=0.0261]
Node 6 | Epoch 6: 100%|██████████| 96/96 [01:41<00:00,  1.06s/it, acc=0.9994, loss=0.0212]
Node 6 | Epoch 7: 100%|██████████| 96/96 [01:43<00:00,  1.08s/it, acc=0.9999, loss=0.0175]
Node 6 | Epoch 8: 100%|██████████| 96/96 [01:41<00:00,  1.06s/it, acc=0.9999, loss=0.0151]
Node 6 | Epoch 9: 100%|██████████| 96/96 [01:42<00:00,  1.07s/it, acc=0.9998, loss=0.0133]
Node 7 | Epoch 0: 100%|██████████| 92/92 [01:40<00:00,  1.09s/it, acc=0.9223, loss=0.8909]
Node 7 | Epoch 1: 100%|██████████| 92/92 [01:38<00:00,  1.07s/it, acc=0.9988, loss=0.1749]
Node 7 | Epoch 2: 100%|██████████| 92/92 [01:40<00:00,  1.09s/it, acc=0.9992, loss=0.0812]
Node 7 | Epoch 3: 100%|██████████| 92/92 [01:38<00:00,  1.07s/it, acc=0.9997, loss=0.0521]
Node 7 | Epoch 4: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9997, loss=0.0381]
Node 7 | Epoch 5: 100%|██████████| 92/92 [01:39<00:00,  1.08s/it, acc=0.9999, loss=0.0302]
Node 7 | Epoch 6: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9998, loss=0.0251]
Node 7 | Epoch 7: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9999, loss=0.0211]
Node 8 | Epoch 0: 100%|██████████| 93/93 [01:41<00:00,  1.09s/it, acc=0.7374, loss=1.3584]
Node 8 | Epoch 1: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.9993, loss=0.4403]
Node 8 | Epoch 2: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9997, loss=0.1330]
Node 8 | Epoch 3: 100%|██████████| 93/93 [01:41<00:00,  1.09s/it, acc=0.9998, loss=0.0641]
Node 8 | Epoch 4: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.9997, loss=0.0419]
Node 8 | Epoch 5: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9996, loss=0.0316]
Node 8 | Epoch 6: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.9998, loss=0.0244]
Node 8 | Epoch 7: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.9998, loss=0.0203]

Configuration Summary - Noise: 0.01, Clip: 5
├─ Average Train Accuracy: 0.9402
├─ Average Test Accuracy:  0.0000
└─ Average Privacy Budget ε: 126946.7589

params: 0.01, 10
Node 0 | Epoch 0: 100%|██████████| 99/99 [01:47<00:00,  1.08s/it, acc=0.8113, loss=1.0149]
Node 0 | Epoch 1: 100%|██████████| 99/99 [01:49<00:00,  1.10s/it, acc=0.9928, loss=0.1822]
Node 0 | Epoch 2: 100%|██████████| 99/99 [01:45<00:00,  1.07s/it, acc=0.9934, loss=0.0964]
Node 0 | Epoch 3: 100%|██████████| 99/99 [01:45<00:00,  1.06s/it, acc=0.9982, loss=0.0540]
Node 0 | Epoch 4: 100%|██████████| 99/99 [01:47<00:00,  1.09s/it, acc=0.9992, loss=0.0371]
Node 0 | Epoch 5: 100%|██████████| 99/99 [01:48<00:00,  1.09s/it, acc=0.9998, loss=0.0291]
Node 0 | Epoch 6: 100%|██████████| 99/99 [01:48<00:00,  1.09s/it, acc=0.9997, loss=0.0239]
Node 0 | Epoch 7: 100%|██████████| 99/99 [01:44<00:00,  1.06s/it, acc=0.9994, loss=0.0209]
Node 0 | Epoch 8: 100%|██████████| 99/99 [01:46<00:00,  1.07s/it, acc=0.9992, loss=0.0189]
Node 0 | Epoch 9: 100%|██████████| 99/99 [01:49<00:00,  1.11s/it, acc=0.9999, loss=0.0171]
Node 1 | Epoch 0: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.7525, loss=1.2479]
Node 1 | Epoch 1: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.9921, loss=0.2013]
Node 1 | Epoch 2: 100%|██████████| 93/93 [01:43<00:00,  1.11s/it, acc=0.9976, loss=0.0695]
Node 1 | Epoch 3: 100%|██████████| 93/93 [01:39<00:00,  1.08s/it, acc=0.9988, loss=0.0401]
Node 1 | Epoch 4: 100%|██████████| 93/93 [01:40<00:00,  1.08s/it, acc=0.9992, loss=0.0294]
Node 1 | Epoch 5: 100%|██████████| 93/93 [01:42<00:00,  1.10s/it, acc=0.9987, loss=0.0236]
Node 1 | Epoch 6: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.9991, loss=0.0190]
Node 1 | Epoch 7: 100%|██████████| 93/93 [01:43<00:00,  1.11s/it, acc=0.9997, loss=0.0154]
Node 1 | Epoch 8: 100%|██████████| 93/93 [01:42<00:00,  1.10s/it, acc=0.9996, loss=0.0131]
Node 1 | Epoch 9: 100%|██████████| 93/93 [01:44<00:00,  1.12s/it, acc=0.9997, loss=0.0116]
Node 2 | Epoch 0: 100%|██████████| 95/95 [01:46<00:00,  1.13s/it, acc=0.6604, loss=1.1500]
Node 2 | Epoch 1: 100%|██████████| 95/95 [01:45<00:00,  1.11s/it, acc=0.9590, loss=0.3733]
Node 2 | Epoch 2: 100%|██████████| 95/95 [01:46<00:00,  1.13s/it, acc=0.9993, loss=0.1014]
Node 2 | Epoch 3: 100%|██████████| 95/95 [01:45<00:00,  1.11s/it, acc=0.9999, loss=0.0561]
Node 2 | Epoch 4: 100%|██████████| 95/95 [01:45<00:00,  1.11s/it, acc=0.9999, loss=0.0393]
Node 2 | Epoch 5: 100%|██████████| 95/95 [01:46<00:00,  1.12s/it, acc=1.0000, loss=0.0299]
Node 2 | Epoch 6: 100%|██████████| 95/95 [01:45<00:00,  1.11s/it, acc=1.0000, loss=0.0239]
Node 2 | Epoch 7: 100%|██████████| 95/95 [01:44<00:00,  1.10s/it, acc=1.0000, loss=0.0201]
Node 2 | Epoch 8: 100%|██████████| 95/95 [01:45<00:00,  1.11s/it, acc=1.0000, loss=0.0170]
Node 2 | Epoch 9: 100%|██████████| 95/95 [01:43<00:00,  1.09s/it, acc=1.0000, loss=0.0148]
Node 3 | Epoch 0: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=0.9105, loss=1.0446]
Node 3 | Epoch 1: 100%|██████████| 92/92 [01:39<00:00,  1.09s/it, acc=1.0000, loss=0.1630]
Node 3 | Epoch 2: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=1.0000, loss=0.0720]
Node 3 | Epoch 3: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=1.0000, loss=0.0447]
Node 3 | Epoch 4: 100%|██████████| 92/92 [01:39<00:00,  1.08s/it, acc=1.0000, loss=0.0324]
Node 3 | Epoch 5: 100%|██████████| 92/92 [01:37<00:00,  1.06s/it, acc=1.0000, loss=0.0253]
Node 3 | Epoch 6: 100%|██████████| 92/92 [01:36<00:00,  1.05s/it, acc=1.0000, loss=0.0204]
Node 3 | Epoch 7: 100%|██████████| 92/92 [01:39<00:00,  1.08s/it, acc=1.0000, loss=0.0172]
Node 4 | Epoch 0: 100%|██████████| 89/89 [01:34<00:00,  1.06s/it, acc=0.7404, loss=1.1520]
Node 4 | Epoch 1: 100%|██████████| 89/89 [01:34<00:00,  1.06s/it, acc=0.9908, loss=0.3458]
Node 4 | Epoch 2: 100%|██████████| 89/89 [01:36<00:00,  1.08s/it, acc=0.9975, loss=0.1202]
Node 4 | Epoch 3: 100%|██████████| 89/89 [01:33<00:00,  1.06s/it, acc=0.9986, loss=0.0650]
Node 4 | Epoch 4: 100%|██████████| 89/89 [01:33<00:00,  1.05s/it, acc=0.9992, loss=0.0443]
Node 4 | Epoch 5: 100%|██████████| 89/89 [01:35<00:00,  1.07s/it, acc=0.9995, loss=0.0339]
Node 4 | Epoch 6: 100%|██████████| 89/89 [01:34<00:00,  1.06s/it, acc=0.9996, loss=0.0279]
Node 4 | Epoch 7: 100%|██████████| 89/89 [01:34<00:00,  1.06s/it, acc=0.9994, loss=0.0242]
Node 4 | Epoch 8: 100%|██████████| 89/89 [01:35<00:00,  1.07s/it, acc=0.9993, loss=0.0224]
Node 4 | Epoch 9: 100%|██████████| 89/89 [01:34<00:00,  1.06s/it, acc=0.9994, loss=0.0194]
Node 5 | Epoch 0: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.7590, loss=1.4653]
Node 5 | Epoch 1: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9978, loss=0.3775]
Node 5 | Epoch 2: 100%|██████████| 93/93 [01:39<00:00,  1.07s/it, acc=0.9983, loss=0.1418]
Node 5 | Epoch 3: 100%|██████████| 93/93 [01:38<00:00,  1.05s/it, acc=0.9994, loss=0.0816]
Node 5 | Epoch 4: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9994, loss=0.0559]
Node 5 | Epoch 5: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9997, loss=0.0422]
Node 5 | Epoch 6: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9997, loss=0.0334]
Node 5 | Epoch 7: 100%|██████████| 93/93 [01:38<00:00,  1.06s/it, acc=0.9997, loss=0.0275]
Node 6 | Epoch 0: 100%|██████████| 96/96 [01:42<00:00,  1.07s/it, acc=0.7001, loss=1.1062]
Node 6 | Epoch 1: 100%|██████████| 96/96 [01:41<00:00,  1.06s/it, acc=0.9483, loss=0.4437]
Node 6 | Epoch 2: 100%|██████████| 96/96 [01:42<00:00,  1.07s/it, acc=0.9946, loss=0.1541]
Node 6 | Epoch 3: 100%|██████████| 96/96 [01:41<00:00,  1.06s/it, acc=0.9980, loss=0.0716]
Node 6 | Epoch 4: 100%|██████████| 96/96 [01:43<00:00,  1.08s/it, acc=0.9989, loss=0.0428]
Node 6 | Epoch 5: 100%|██████████| 96/96 [01:41<00:00,  1.05s/it, acc=0.9994, loss=0.0303]
